 # Cumulative accessible volume distribution as a function of probe diameter
 # 
 # d(probe)                Volume Fraction
 -0.125000000       1.00000000    
  0.125000000       1.00000000    
  0.375000000       1.00000000    
  0.625000000       1.00000000    
  0.875000000       1.00000000    
   1.12500000       1.00000000    
   1.37500000       1.00000000    
   1.62500000       1.00000000    
   1.87500000       1.00000000    
   2.12500000       1.00000000    
   2.37500000       1.00000000    
   2.62500000       1.00000000    
   2.87500000       1.00000000    
   3.12500000       1.00000000    
   3.37500000      0.989358902    
   3.62500000      0.971755147    
   3.87500000      0.959668934    
   4.12500000      0.944167078    
   4.37500000      0.926957428    
   4.62500000      0.910404623    
   4.87500000      0.888334215    
   5.12500000      0.861797154    
   5.37500000      0.829742491    
   5.62500000      0.775223315    
   5.87500000      0.632553875    
   6.12500000      0.599185526    
   6.37500000      0.571203351    
   6.62500000      0.547687888    
   6.87500000      0.527193904    
   7.12500000      0.505254865    
   7.37500000      0.491066724    
   7.62500000      0.469653189    
   7.87500000      0.445218086    
   8.12500000       0.00000000    
   8.37500000       0.00000000    
   8.62500000       0.00000000    
   8.87500000       0.00000000    
   9.12500000       0.00000000    
   9.37500000       0.00000000    
   9.62500000       0.00000000    
   9.87500000       0.00000000    
   10.1250000       0.00000000    
   10.3750000       0.00000000    
   10.6250000       0.00000000    
   10.8750000       0.00000000    
   11.1250000       0.00000000    
   11.3750000       0.00000000    
   11.6250000       0.00000000    
   11.8750000       0.00000000    
   12.1250000       0.00000000    
   12.3750000       0.00000000    
   12.6250000       0.00000000    
   12.8750000       0.00000000    
   13.1250000       0.00000000    
   13.3750000       0.00000000    
   13.6250000       0.00000000    
   13.8750000       0.00000000    
   14.1250000       0.00000000    
   14.3750000       0.00000000    
   14.6250000       0.00000000    
   14.8750000       0.00000000    
   15.1250000       0.00000000    
   15.3750000       0.00000000    
   15.6250000       0.00000000    
   15.8750000       0.00000000    
   16.1250000       0.00000000    
   16.3750000       0.00000000    
   16.6250000       0.00000000    
   16.8750000       0.00000000    
   17.1250000       0.00000000    
   17.3750000       0.00000000    
   17.6250000       0.00000000    
   17.8750000       0.00000000    
   18.1250000       0.00000000    
   18.3750000       0.00000000    
   18.6250000       0.00000000    
   18.8750000       0.00000000    
   19.1250000       0.00000000    
   19.3750000       0.00000000    
   19.6250000       0.00000000    
